Name,Brand,cluster,Notes
Tihota,Indult,5,"['Vanilla bean', 'musks']"
Sola,Di Ser,3,"['Lavender', 'Yuzu', 'Lemongrass', 'Magnolia', 'Geranium', 'Jasmine', 'Frankincense', 'Myrrh']"
Kagiroi,Di Ser,3,"['Green yuzu', 'green shikuwasa', 'sansho seed', 'coriander', 'ylang-ylang', 'shiso', 'rosewood', 'vetiver', 'hinoki', 'cypriol', 'patchouli', 'agarwood']"
Velvet Fantasy,Montale,5,"['tangerine', 'pink pepper', 'black coffee', 'leather', 'violet', 'jasmine', 'lily of the valley', 'heliotrope powder', 'vanilla', 'amber', 'sandalwood', 'toffee', 'musk', 'oakmoss']"
A Blvd. Called Sunset,A Lab on Fire,5,"['Bergamot', 'almond', 'violet', 'jasmine', 'leather', 'sandalwood', 'vanilla', 'tonka']"
Freckled and Beautiful,A Lab on Fire,5,"['Orange flower', 'neroli', 'honeysuckle', 'warm milk', 'pastry', 'salicylates', 'sandalwood', 'vanilla bean', 'heliotrope']"
Exit the King,Etat Libre d'Orange,3,"['Timur JE', 'Soap Foam Accord (Aldehydes & Musk)', 'Pink Pepper', 'Jasmine e-pure', 'Rose Superessence', 'Lily-of-the-valley Accord', 'Patchouli', 'Moss Absolute', 'Sandalwood Accord & Orcanox']"
Eshu,PRIN,3,"['Tobacco', 'hay', 'elemi', 'copaiba', 'olibanum', 'nutmeg', 'black pepper', 'castoreum', 'atlas cedar', 'oakmoss', 'cognac', 'ambroxan', 'norlimbanol', 'cinnamon', 'cumin seed', 'ash']"
Saringkarn,PRIN,5,"['Saffron', 'champaca', 'fir balsam', 'beeswax', 'amber', 'damask rose', 'rose de mai', 'tobacco', 'leather', 'dark chocolate', 'prune', 'oud', 'musk', 'oakmoss', 'ambrette', 'smoke', 'incense', 'ylang ylang']"
Arsalan,PRIN,4,"['Cambodian oud', 'Trat oud', 'jasmin sambac', 'champaca', 'olibanum', 'turmeric', 'clove', 'caraway', 'cardamom', 'cinnamon', 'cumin', 'coriander', 'gardenia', 'opoponax', 'saffron', 'sandalwood', 'patchouli', 'musk']"
